position;company;comp_link;sal_from;sal_to;sal_curr;sal_tax
Python-разработчик (senior/lead);KTS;https://hh.ru/employer/3202190?hhtmFrom=vacancy_search_list;0;340000;₽;на руки
Middle/Senior python developer;АО К-ТЕХНОЛОГИИ;https://hh.ru/employer/103944?hhtmFrom=vacancy_search_list;;;;
Team Lead Python Developer;X5 GROUP, Центральный офис;https://hh.ru/employer/4233?dpt=retail-4233-cent&hhtmFrom=vacancy_search_list;;;;
Python Developer в группу диалогового движка Маруси;VK;https://hh.ru/employer/15478?dpt=mailru-15478-other&hhtmFrom=vacancy_search_list;;;;
Главный риск - аналитик (Python);АО Ингосстрах Банк;https://hh.ru/employer/3757?hhtmFrom=vacancy_search_list;;;;
Руководитель отдела разработки (Full-Stack Team Lead);ИП Нагорная Ирина Олеговна;https://hh.ru/employer/9047579?hhtmFrom=vacancy_search_list;200000;300000;₽;на руки
Data Analyst (Аналитик данных);ООО Космос Про Медиа;https://hh.ru/employer/5788049?hhtmFrom=vacancy_search_list;;;;
Разработчик на Python в финансовую платформу;Яндекс;https://hh.ru/employer/1740?dpt=yandex-1740-yandex&hhtmFrom=vacancy_search_list;;;;
Python разработчик/ИТ-лидер команды Развитие технологий для продаж и обслуживания КЦ;ООО ГК Иннотех | Финтех (Иннотех);https://hh.ru/employer/4649269?dpt=4649269-4649269-innoteh&hhtmFrom=vacancy_search_list;;;;
Fullstack python developer (ESC);Positive Technologies;https://hh.ru/employer/26624?hhtmFrom=vacancy_search_list;;;;
Data Engineer;Лига Цифровой Экономики;https://hh.ru/employer/2733062?hhtmFrom=vacancy_search_list;;;;
Разработчик С#/C++,Python;Antal Talent;https://hh.ru/employer/2009?hhtmFrom=vacancy_search_list;;;;
Senior analyst;ООО Медиапоинт;https://hh.ru/employer/4482374?hhtmFrom=vacancy_search_list;;;;
Data engineer (Python Hadoop Spark);X5 Tech;https://hh.ru/employer/9352463?hhtmFrom=vacancy_search_list;;;;
Ведущий Python Backend разработчик;ООО Пиклема;https://hh.ru/employer/4323102?hhtmFrom=vacancy_search_list;;;;
Senior/ Middle Python Developer (ML);Samokat.tech;https://hh.ru/employer/5488399?hhtmFrom=vacancy_search_list;;;;
Дежурный инженер DevOps;ООО Автомакон;https://hh.ru/employer/839098?hhtmFrom=vacancy_search_list;163000;209000;₽;до вычета налогов
Lead / Senior Data Engineer (Python);АТОМ;https://hh.ru/employer/5912977?hhtmFrom=vacancy_search_list;;;;
Data-scientist junior level;ООО АНДАТА;https://hh.ru/employer/4141321?hhtmFrom=vacancy_search_list;;;;
Аналитик данных / Data Scientist;RedCat;https://hh.ru/employer/9053907?hhtmFrom=vacancy_search_list;;;;
Преподаватель курса по обучению с нейросетями на Python;ООО Айтигенио;https://hh.ru/employer/3060194?hhtmFrom=vacancy_search_list;300;1000;$;на руки
QA Automation Engineer (Python) [DSP];ПАО «МТС», Digital;https://hh.ru/employer/3776?dpt=mts-3776-it&hhtmFrom=vacancy_search_list;;;;
Ведущий инженер по нагрузочному тестированию ПО;Правительство Москвы;https://hh.ru/employer/895945?hhtmFrom=vacancy_search_list;;;;
Фуллстек-разработчик / Fullstack middle developer;CATAPULTO.RU;https://hh.ru/employer/1776381?hhtmFrom=vacancy_search_list;150000;200000;₽;на руки
Python разработчик в группу инфраструктуры продаж;Яндекс;https://hh.ru/employer/1740?dpt=yandex-1740-yandex&hhtmFrom=vacancy_search_list;;;;
Стажер инженер по автоматизации тестирования Python, Рантайм поиска и индексация;Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
Инженер по автоматизации тестирования (Python);Бюро 1440;https://hh.ru/employer/5266429?hhtmFrom=vacancy_search_list;;;;
Старший инженер по автоматизации тестирования Python, Финансы и организационная модель;Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
Python Fullstack разработчик в группу взыскания задолженности;Райффайзен Банк;https://hh.ru/employer/4023?hhtmFrom=vacancy_search_list;;;;
Python System Software Developer, Senior (RuBackup);Группа компаний Астра;https://hh.ru/employer/5060211?hhtmFrom=vacancy_search_list;;;;
Senior Software Engineer in Test -SDET (JS/TS/Python);Аурига;https://hh.ru/employer/738?hhtmFrom=vacancy_search_list;;;;
QA automation engineer (Python) / Инженер по автоматизированному тестированию (Release engineering);YADRO;https://hh.ru/employer/1993194?hhtmFrom=vacancy_search_list;;;;
Инженер службы технической поддержки в отдел установки ПО;ИнтерТраст;https://hh.ru/employer/320?hhtmFrom=vacancy_search_list;60000;80000;₽;на руки
Владелец аналитической платформы / Data Vault Owner;Правительство Москвы;https://hh.ru/employer/895945?hhtmFrom=vacancy_search_list;;;;
Senior MLE/DS в команду рекомендаций;ООО Автомакон;https://hh.ru/employer/839098?hhtmFrom=vacancy_search_list;300000;500000;₽;до вычета налогов
Преподаватель программирования для детей (удаленно);Skyeng;https://hh.ru/employer/1122462?hhtmFrom=vacancy_search_list;0;100000;₽;на руки
ТИМ-мастер (BIM-мастер);ООО Мост;https://hh.ru/employer/4373266?hhtmFrom=vacancy_search_list;117000;0;₽;на руки
Senior backend developer (PHP/Node.js/Python);Spans Agency;https://hh.ru/employer/5069252?hhtmFrom=vacancy_search_list;120000;0;₽;на руки
Senior Python developer на проект InfraCloud;Сбер. IT;https://hh.ru/employer/3529?dpt=3529-3529-it&hhtmFrom=vacancy_search_list;380000;0;₽;до вычета налогов
Риггер-программист;ООО СТУДИЯ ПАРОВОЗ;https://hh.ru/employer/1757202?hhtmFrom=vacancy_search_list;;;;
Middle+ Python developer на продукт Golden Record (Big Data);ПАО «МТС», Digital;https://hh.ru/employer/3776?dpt=mts-3776-it&hhtmFrom=vacancy_search_list;;;;
ML Engineer (Data Scientist), Маркетплейс, Цены и анализ конкурентов;Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
Antifraud analyst;Finstar Financial Group;https://hh.ru/employer/180028?hhtmFrom=vacancy_search_list;2000;3000;$;на руки
Преподаватель онлайн-курсов Python для детей (индивидуальные и групповые занятия);Алгоритмика;https://hh.ru/employer/2657797?hhtmFrom=vacancy_search_list;;;;
Эксперт по промо автозаказа (Разработчик SQL);Пятёрочка. Офисные сотрудники;https://hh.ru/employer/1942330?dpt=1942330-1942330-ofis&hhtmFrom=vacancy_search_list;;;;
Backend разработчик;ООО Автомакон;https://hh.ru/employer/839098?hhtmFrom=vacancy_search_list;80000;110000;₽;на руки
ML Engineer;АО ТЕКОН-Инжиниринг;https://hh.ru/employer/32047?hhtmFrom=vacancy_search_list;;;;
Специалист по планированию спроса/Demand planner;MacCoffee;https://hh.ru/employer/4475?hhtmFrom=vacancy_search_list;;;;
Ведущий аналитик данных;Ozon fresh;https://hh.ru/employer/2180?dpt=ozonru-2180-express&hhtmFrom=vacancy_search_list;;;;
Auto QA engineer (Автоматизатор тестирования на Python, middle/senior);ООО ЦИФРА;https://hh.ru/employer/3191643?hhtmFrom=vacancy_search_list;;;;
QA automation (Python) / Инженер по автоматизированному тестированию (Data Services);YADRO;https://hh.ru/employer/1993194?hhtmFrom=vacancy_search_list;;;;
Веб-разработка и управление IT;The Sortage;https://hh.ru/employer/5401219?hhtmFrom=vacancy_search_list;180000;0;₽;на руки
Инженер по автоматизации тестирования телекомоборудования;ООО Т8;https://hh.ru/employer/575393?hhtmFrom=vacancy_search_list;;;;
SRE Engineer;WILDBERRIES;https://hh.ru/employer/87021?hhtmFrom=vacancy_search_list;;;;
Инженер-разработчик платформенных решений;WILDBERRIES;https://hh.ru/employer/87021?hhtmFrom=vacancy_search_list;;;;
Специалист по поддержке и разработке RPA решений;Ventra IT Solutions;https://hh.ru/employer/9697721?hhtmFrom=vacancy_search_list;;;;
Эксперт направления сопровождения автоматизированных систем;АО РАСЧЕТНЫЕ РЕШЕНИЯ;https://hh.ru/employer/699283?hhtmFrom=vacancy_search_list;;;;
DevOps инженер;iiko, Компания Aйко;https://hh.ru/employer/76650?hhtmFrom=vacancy_search_list;0;350000;₽;на руки
Middle / Senior QA Automation Engineer (NGFW);Солар;https://hh.ru/employer/1793216?hhtmFrom=vacancy_search_list;;;;
Senior Python developer (Django/Flask) работа в офисе;Hyper AdTech;https://hh.ru/employer/4855149?hhtmFrom=vacancy_search_list;300000;0;₽;на руки
Педагог программирования для детей;Курсы подготовки ОГЭ/ЕГЭ (ИП Сибирякова Марина Георгиевна);https://hh.ru/employer/9196011?hhtmFrom=vacancy_search_list;40000;70000;₽;на руки
Аналитик / Аналитик BI;ООО Медиапоинт;https://hh.ru/employer/4482374?hhtmFrom=vacancy_search_list;;;;
DevOps engineer;Hyperus;https://hh.ru/employer/10399986?hhtmFrom=vacancy_search_list;;;;
Разработчик ETL;ПАО Ростелеком;https://hh.ru/employer/2748?hhtmFrom=vacancy_search_list;;;;
Data Quality Engineer (Инженер по качеству данных);Московский Кредитный Банк. ИТ-специалисты;https://hh.ru/employer/2492?dpt=2492-2492-14884&hhtmFrom=vacancy_search_list;;;;
Главный специалист Стресс-тестирование Интеграционные риски (BI-разработчик);АО Банк ДОМ.РФ;https://hh.ru/employer/3443?hhtmFrom=vacancy_search_list;;;;
DevOps-инженер (Bundle Developer);ООО Аренадата Софтвер;https://hh.ru/employer/4813742?hhtmFrom=vacancy_search_list;;;;
Системный программист Linux;ИнСАТ;https://hh.ru/employer/203728?hhtmFrom=vacancy_search_list;;;;
С++ Developer (Cloud);DSSL;https://hh.ru/employer/2888?hhtmFrom=vacancy_search_list;;;;
Инженер-разработчик / верификатор ПЛИС;АО НПО дальней радиолокации;https://hh.ru/employer/5162605?hhtmFrom=vacancy_search_list;220000;250000;₽;до вычета налогов
Инженер - программист 1 категории (01010-1);АО Моринформсистема-Агат, Концерн;https://hh.ru/employer/179533?hhtmFrom=vacancy_search_list;110000;0;₽;на руки
Backend разработчик (Python, Django) / Автоматизация и аналитика корпоративного бизнеса;АО ДОМ.РФ ИТ;https://hh.ru/employer/11680?dpt=11680-11680-it&hhtmFrom=vacancy_search_list;;;;
Инженер по автоматизации тестирования сетевого оборудования;ООО Т8;https://hh.ru/employer/575393?hhtmFrom=vacancy_search_list;;;;
Продуктовый аналитик;ООО СберОбразование;https://hh.ru/employer/5332874?hhtmFrom=vacancy_search_list;;;;
Product Analyst (remote);Купибилет;https://hh.ru/employer/950613?hhtmFrom=vacancy_search_list;;;;
ИТ Аналитик (RestApi);ООО Бристоль, сеть магазинов;https://hh.ru/employer/1189320?hhtmFrom=vacancy_search_list;230000;0;₽;до вычета налогов
Computer Vision Engineer, Perception;ООО АРТК;https://hh.ru/employer/10915117?hhtmFrom=vacancy_search_list;0;200000;₽;на руки
Тимлид (руководитель технического отдела), удаленно;FINAMP;https://hh.ru/employer/5468852?hhtmFrom=vacancy_search_list;100;150000;₽;на руки
Research Engineer, Computer Vision, Perception;ООО АРТК;https://hh.ru/employer/10915117?hhtmFrom=vacancy_search_list;0;300000;₽;на руки
Ведущий администратор Linux;Платформа ОФД;https://hh.ru/employer/3536900?hhtmFrom=vacancy_search_list;200000;280000;₽;до вычета налогов
Системный администратор Linux/Unix;ПАО ВТБ, Технологический блок;https://hh.ru/employer/4181?dpt=vtb-4181-teh&hhtmFrom=vacancy_search_list;;;;
Golang Developer/Middle Go;ООО Концепт-Технологии;https://hh.ru/employer/9288282?hhtmFrom=vacancy_search_list;125000;280000;₽;на руки
Senior Data Scientist / ML разработчик;ООО Гудфокаст;https://hh.ru/employer/2782259?hhtmFrom=vacancy_search_list;;;;
Тестировщик Junior;ТрансМашХолдинг ;https://hh.ru/employer/3414?dpt=3414-3414-trans&hhtmFrom=vacancy_search_list;;;;
Системный аналитик;Лига Цифровой Экономики;https://hh.ru/employer/2733062?hhtmFrom=vacancy_search_list;;;;
Data Scientist в Антифрод;Яндекс;https://hh.ru/employer/1740?dpt=yandex-1740-yandex&hhtmFrom=vacancy_search_list;;;;
QA-lead автоматизации тестирования (WebProxy);Солар;https://hh.ru/employer/1793216?hhtmFrom=vacancy_search_list;;;;
Инженер технической поддержки (L2);Simtech Development;https://hh.ru/employer/570957?hhtmFrom=vacancy_search_list;;;;
Стажер отдела BI;БУРГЕР КИНГ РОССИЯ;https://hh.ru/employer/625332?hhtmFrom=vacancy_search_list;;;;
Ведущий аналитик отдела компенсаций и льгот;Петрович, Строительный Торговый Дом;https://hh.ru/employer/77364?hhtmFrom=vacancy_search_list;;;;
Ведущий аналитик;Петрович, Строительный Торговый Дом;https://hh.ru/employer/77364?hhtmFrom=vacancy_search_list;;;;
Data Engineer;ООО Автомакон;https://hh.ru/employer/839098?hhtmFrom=vacancy_search_list;250000;400000;₽;на руки
DevOps инженер (Senior);Right Line;https://hh.ru/employer/3649870?hhtmFrom=vacancy_search_list;;;;
Разработчик отдела виртуализации (C);Hyperus;https://hh.ru/employer/10399986?hhtmFrom=vacancy_search_list;;;;
QA engineer (офис);Кадровое агентство BWG;https://hh.ru/employer/9472604?hhtmFrom=vacancy_search_list;150000;0;₽;на руки
Консультант по разработке систем управления складами;Мираторг, Агропромышленный холдинг;https://hh.ru/employer/17275?hhtmFrom=vacancy_search_list;;;;
Antifraud analyst;ООО Ок Софт;https://hh.ru/employer/5692713?hhtmFrom=vacancy_search_list;;;;
Аналитик SQL- Качества данных;ООО ГК Иннотех | Большие данные;https://hh.ru/employer/4649269?dpt=4649269-4649269-bigdata&hhtmFrom=vacancy_search_list;;;;
QA Automation Engineer;Spice Agency;https://hh.ru/employer/654435?hhtmFrom=vacancy_search_list;;;;
C++ Developer;VK, ВКонтакте;https://hh.ru/employer/15478?dpt=mailru-15478-vkontakt&hhtmFrom=vacancy_search_list;;;;
Главный DataEngineer;АльфаСтрахование;https://hh.ru/employer/370?hhtmFrom=vacancy_search_list;;;;
Senior ML Engineer;ООО Оскели Групп;https://hh.ru/employer/2748042?hhtmFrom=vacancy_search_list;;;;
Программист-исследователь (проект Поиск);VK;https://hh.ru/employer/15478?dpt=mailru-15478-other&hhtmFrom=vacancy_search_list;;;;
Инженер по тестированию;АО РАСЧЕТНЫЕ РЕШЕНИЯ;https://hh.ru/employer/699283?hhtmFrom=vacancy_search_list;;;;
Бизнес-аналитик;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
"Аналитик данных в стрим ""Информационные сервисы"" продукт ""История операций""";ПАО ВТБ, Розничный бизнес;https://hh.ru/employer/4181?dpt=vtb-4181-rbiz&hhtmFrom=vacancy_search_list;;;;
Разработчик интегральных схем ПЛИС(FPGA)/Инженер-программист ПЛИС;АО НПО дальней радиолокации;https://hh.ru/employer/5162605?hhtmFrom=vacancy_search_list;0;200000;₽;до вычета налогов
Middle С++ Developer по встраиванию решений видеоаналитики;DSSL;https://hh.ru/employer/2888?hhtmFrom=vacancy_search_list;;;;
Data analyst / Аналитик данных;ООО IQnergy;https://hh.ru/employer/2152712?hhtmFrom=vacancy_search_list;;;;
Разработчик С++;СБЕРКОРУС;https://hh.ru/employer/946607?hhtmFrom=vacancy_search_list;;;;
Data Engineer (Data Quality / Data Governance);ООО ФЛАУВАУ;https://hh.ru/employer/5063336?hhtmFrom=vacancy_search_list;;;;
DWH-аналитик в команду IT Treasury team;Райффайзен Банк;https://hh.ru/employer/4023?hhtmFrom=vacancy_search_list;;;;
Lead Data Engineer;Сбер. IT;https://hh.ru/employer/3529?dpt=3529-3529-it&hhtmFrom=vacancy_search_list;;;;
Системный администратор;ООО Ртк-Элемент;https://hh.ru/employer/9230673?hhtmFrom=vacancy_search_list;;;;
Репетитор по информатике (удаленно);Онлайн-школа Тетрика;https://hh.ru/employer/3731347?hhtmFrom=vacancy_search_list;0;72000;₽;до вычета налогов
Data Scientist;Вкусно — и точка;https://hh.ru/employer/2624085?hhtmFrom=vacancy_search_list;;;;
Java разработчик (Senior);Почтатех;https://hh.ru/employer/4543942?hhtmFrom=vacancy_search_list;;;;
Аналитик BI, удаленно;ВкусВилл. Офис;https://hh.ru/employer/816144?dpt=816144-816144-office&hhtmFrom=vacancy_search_list;;;;
Middle аналитик данных;ООО Медиапоинт;https://hh.ru/employer/4482374?hhtmFrom=vacancy_search_list;;;;
Senior Аналитик данных;ООО Медиапоинт;https://hh.ru/employer/4482374?hhtmFrom=vacancy_search_list;;;;
ETL/DWH developer (Data Cloud);Почтатех;https://hh.ru/employer/4543942?hhtmFrom=vacancy_search_list;;;;
ML Engineer в Цифровой ассистент;VK;https://hh.ru/employer/15478?dpt=mailru-15478-other&hhtmFrom=vacancy_search_list;;;;
Руководитель отдела разработки устройств;Декаст;https://hh.ru/employer/149846?hhtmFrom=vacancy_search_list;;;;
Site Reliability Engineer;Astrum Entertainment;https://hh.ru/employer/8981150?hhtmFrom=vacancy_search_list;;;;
Data Engineer (DWH Arch);ООО ФЛАУВАУ;https://hh.ru/employer/5063336?hhtmFrom=vacancy_search_list;;;;
Дата-инженер (Loginom);ORO;https://hh.ru/employer/7312?hhtmFrom=vacancy_search_list;;;;
Full-Stack Developer в команду внутренней разработки;VK, ВКонтакте;https://hh.ru/employer/15478?dpt=mailru-15478-vkontakt&hhtmFrom=vacancy_search_list;;;;
Fullstack QA Engineer;WILDBERRIES;https://hh.ru/employer/87021?hhtmFrom=vacancy_search_list;;;;
QA Инженер (MaxPatrol10);Positive Technologies;https://hh.ru/employer/26624?hhtmFrom=vacancy_search_list;;;;
Senior Rust Developer;Криптонит;https://hh.ru/employer/3491569?hhtmFrom=vacancy_search_list;;;;
WEB-аналитик;Biglion;https://hh.ru/employer/656481?hhtmFrom=vacancy_search_list;;;;
Старший специалист по верификации RTL (Senior);Дизайн-центр цифровой микроэлектроники МГУ имени М.В. Ломоносова;https://hh.ru/employer/3847284?hhtmFrom=vacancy_search_list;160000;200000;₽;на руки
Разработчик связных алгоритмов;АО НПЦ ЭЛВИС;https://hh.ru/employer/206972?hhtmFrom=vacancy_search_list;;;;
Middle Инженер-разработчик RTL;Цифровые решения, НПП;https://hh.ru/employer/153479?hhtmFrom=vacancy_search_list;250000;0;₽;на руки
Embeded разработчик под Linux;ООО ГК МФМК;https://hh.ru/employer/1173188?hhtmFrom=vacancy_search_list;;;;
Team Lead Data Science (Anti-fraud);ООО Медиапоинт;https://hh.ru/employer/4482374?hhtmFrom=vacancy_search_list;;;;
Руководитель отдела разработки;ООО ГОЛДЕНГУС ИНТЕРНЕШНЛ;https://hh.ru/employer/3569117?hhtmFrom=vacancy_search_list;;;;
Senior разработчик С (Си);ООО НТЦ Ротек;https://hh.ru/employer/1075575?hhtmFrom=vacancy_search_list;250000;0;₽;на руки
Web-аналитик;Coral Club;https://hh.ru/employer/1307995?hhtmFrom=vacancy_search_list;;;;
Системный инженер;ООО Киберпротект;https://hh.ru/employer/4357678?hhtmFrom=vacancy_search_list;;;;
